Date,Duration
2019-05-17,2386
2019-05-18,8033
2019-05-19,9786
2019-05-20,2497
2019-05-21,3723
2019-05-22,16635
2019-05-23,13534
2019-05-24,13901
2019-05-25,6813
2019-05-26,14272
2019-05-27,13106
2019-05-28,10610
2019-05-29,11324
2019-05-30,16927
2019-05-31,12015
2019-06-01,9980
2019-06-02,11642
2019-06-03,6013
2019-06-04,8812
2019-06-05,14394
2019-06-06,9500
2019-06-07,7328
2019-06-08,6694
2019-06-09,3599
2019-06-10,7224
2019-06-11,7997
2019-06-12,7591
2019-06-13,7252
2019-06-14,3870
2019-06-15,3174
2019-06-16,5062
2019-06-17,6092
2019-06-18,6583
2019-06-19,11174
2019-06-20,6311
2019-06-21,9713
2019-06-22,7878
2019-06-23,8856
2019-06-24,8346
2019-06-25,8372
2019-06-26,8156
2019-06-27,7338
2019-06-28,5761
2019-06-29,10869
2019-06-30,5767
2019-07-01,5692
2019-07-02,8433
2019-07-03,7240
2019-07-04,5092
2019-07-05,6544
2019-07-06,4023
2019-07-07,6011
2019-07-08,4762
2019-07-09,6122
2019-07-10,7853
2019-07-11,11913
2019-07-12,7459
2019-07-13,7220
2019-07-14,7972
2019-07-15,11726
2019-07-16,6399
2019-07-17,5688
2019-07-18,7680
2019-07-19,8455
2019-07-20,7848
2019-07-21,5114
2019-07-22,5779
2019-07-23,6245
2019-07-24,4516
2019-07-25,5703
2019-07-26,6872
2019-07-27,10168
2019-07-28,6838
2019-07-29,6708
2019-07-30,7071
2019-07-31,4981
2019-08-01,6679
2019-08-02,5876
2019-08-03,7676
2019-08-04,4041
2019-08-05,4689
2019-08-06,4073
2019-08-07,5330
2019-08-08,6847
2019-08-09,5248
2019-08-10,6655
2019-08-11,7760
2019-08-12,7788
2019-08-13,7216
2019-08-14,8622
2019-08-15,5748
2019-08-16,8223
2019-08-17,6311
2019-08-18,4204
2019-08-19,6835
2019-08-20,9647
2019-08-21,8543
2019-08-22,4174
2019-08-23,8647
2019-08-24,7060
2019-08-25,6410
2019-08-26,6574
2019-08-27,7847
2019-08-28,8824
2019-08-29,5355
2019-08-30,7628
2019-08-31,6167
2019-09-01,3390
2019-09-02,9465
2019-09-03,12074
2019-09-04,6951
2019-09-05,10184
2019-09-06,8697
2019-09-07,9051
2019-09-08,8575
2019-09-09,6834
2019-09-10,8062
2019-09-11,7802
2019-09-12,7031
2019-09-13,6450
2019-09-14,4300
2019-09-15,7651
2019-09-16,4703
2019-09-17,7782
2019-09-18,4328
2019-09-19,9118
2019-09-20,6952
2019-09-21,6512
2019-09-22,6386
2019-09-23,4512
2019-09-24,6348
2019-09-25,8204
2019-09-26,6566
2019-09-27,5535
2019-09-28,6568
2019-09-29,6507
2019-09-30,7833
2019-10-01,6790
2019-10-02,12289
2019-10-03,6994
2019-10-04,2514
2019-10-05,14821
2019-10-06,14840
2019-10-07,13532
2019-10-08,8958
2019-10-09,10237
2019-10-10,7759
2019-10-11,10736
2019-10-12,10869
2019-10-13,6335
2019-10-14,7740
2019-10-15,8775
2019-10-16,12005
2019-10-17,11291
2019-10-18,456
2019-10-19,250
2019-10-20,1085
2019-10-21,6784
2019-10-22,2037
2019-10-23,8820
2019-10-24,14209
2019-10-25,14591
2019-10-26,8307
2019-10-27,7418
2019-10-28,5381
2019-10-29,7525
2019-10-30,8637
2019-10-31,13700
